projectAcronym,FOODGUARD,TITAN,EFF-CoP,WATSON,Infoodmation,TealHelix,CATALYSE,VISION4FOOD,BeSafeBeeHoney,SOSFood,ACT4FOOD,FoodDataQuest,BREADCRUMB,ALLIANCE,SecureFood,OptiFish,CUES,ROSETTA
UVEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
UNILU,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UNIVIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Universitatea Valahia Targoviste,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
UKHD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
UGent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Kliment Ohridski,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
UCD,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
USAMV,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
University of Belgrade,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
University of Cukurova,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
University of Helsinki,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
University of Ioannina,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
University Of Lancaster,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
UNIVERSITY OF MACEDONIA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
University of Messina,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SURREY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Tuzla,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
University Of Zagreb,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SB MARIBOR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
UNIWARSAW,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STATE FOOD AND VETERINARY SERVICE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
VCU ROBOTICS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
VCU TCD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
VIKONDA GRUPE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
VILA NATURA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
VILNIAUS UNIVERSITETAS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
VLTN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WU,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
WELLICS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WENGER-TRAYNER,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHITE RESEARCH,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
WISEFOUR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
JOTIS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ZAVOD MENSANA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ZELENA TOCKA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ZENITH POLAND,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZSI,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZUNIBAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SCA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RESILIENCE GUARD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
UNIVERSITAT BAYREUTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BULGARIAN WINE EXPORT ASSOCIATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HAMEEN AMMATTI-INSTITUUTTI OY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HERMES AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DECO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
UPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
JRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
